chunk_id,source_file,title,chunk_index,char_count,word_count,token_estimate
01_asu_official_offcampus_housing__0000,01_asu_official_offcampus_housing.txt,ASU Official Off-Campus Housing,0,2253,337,564
01_asu_official_offcampus_housing__0001,01_asu_official_offcampus_housing.txt,ASU Official Off-Campus Housing,1,1863,337,466
01_asu_official_offcampus_housing__0002,01_asu_official_offcampus_housing.txt,ASU Official Off-Campus Housing,2,1887,337,472
01_asu_official_offcampus_housing__0003,01_asu_official_offcampus_housing.txt,ASU Official Off-Campus Housing,3,1923,337,481
01_asu_official_offcampus_housing__0004,01_asu_official_offcampus_housing.txt,ASU Official Off-Campus Housing,4,1790,320,448
02_college_pads_asu__0000,02_college_pads_asu.txt,College Pads ASU Search,0,1869,337,468
02_college_pads_asu__0001,02_college_pads_asu.txt,College Pads ASU Search,1,1890,337,473
02_college_pads_asu__0002,02_college_pads_asu.txt,College Pads ASU Search,2,1240,218,310
03_uhomes_tempe__0000,03_uhomes_tempe.txt,uHomes Tempe,0,1809,337,453
03_uhomes_tempe__0001,03_uhomes_tempe.txt,uHomes Tempe,1,1886,337,472
03_uhomes_tempe__0002,03_uhomes_tempe.txt,uHomes Tempe,2,1778,337,445
03_uhomes_tempe__0003,03_uhomes_tempe.txt,uHomes Tempe,3,2119,337,530
03_uhomes_tempe__0004,03_uhomes_tempe.txt,uHomes Tempe,4,2174,337,544
03_uhomes_tempe__0005,03_uhomes_tempe.txt,uHomes Tempe,5,2157,337,540
03_uhomes_tempe__0006,03_uhomes_tempe.txt,uHomes Tempe,6,2125,337,532
03_uhomes_tempe__0007,03_uhomes_tempe.txt,uHomes Tempe,7,2061,337,516
03_uhomes_tempe__0008,03_uhomes_tempe.txt,uHomes Tempe,8,2138,337,535
03_uhomes_tempe__0009,03_uhomes_tempe.txt,uHomes Tempe,9,2072,337,518
03_uhomes_tempe__0010,03_uhomes_tempe.txt,uHomes Tempe,10,1970,337,493
03_uhomes_tempe__0011,03_uhomes_tempe.txt,uHomes Tempe,11,2100,337,525
03_uhomes_tempe__0012,03_uhomes_tempe.txt,uHomes Tempe,12,1973,337,494
03_uhomes_tempe__0013,03_uhomes_tempe.txt,uHomes Tempe,13,2102,337,526
03_uhomes_tempe__0014,03_uhomes_tempe.txt,uHomes Tempe,14,2006,337,502
03_uhomes_tempe__0015,03_uhomes_tempe.txt,uHomes Tempe,15,1997,337,500
03_uhomes_tempe__0016,03_uhomes_tempe.txt,uHomes Tempe,16,2097,337,525
03_uhomes_tempe__0017,03_uhomes_tempe.txt,uHomes Tempe,17,2016,337,504
03_uhomes_tempe__0018,03_uhomes_tempe.txt,uHomes Tempe,18,1977,337,495
