document,characters,words,estimated_tokens
01_asu_official_offcampus_housing.txt,8841,1497,2210
02_college_pads_asu.txt,4638,811,1160
03_uhomes_tempe.txt,35636,5901,8909
04_birdeye_reviews.txt,4300,738,1075
05_ratemyapartments_asu.txt,5867,1158,1467
06_apartmentlist_asu.txt,14951,2300,3738
07_offcampus_universe_guide_1.txt,3899,569,975
08_offcampus_universe_guide_2.txt,4251,630,1063
09_Apartments_to_Avoid.txt,5296,825,1324
10_Do_Any_Student_Apartments_NOT_Suck.txt,5731,927,1433
11_Housing_Takeover_Megathread.txt,6467,1005,1617
12_What_Apartments_Are_Good_in_Tempe_Near_ASU.txt,4598,748,1150
